,x,y,2G,3G,4G,latitude,longitude
18721,1219456.0,6051200.0,1,1,1,41.3791,9.1979
18710,1216151.0,6051885.0,1,1,1,41.3875,9.1592
18712,1216460.0,6052111.0,1,1,1,41.3893,9.1631
18736,1223061.0,6054268.0,1,1,1,41.404,9.2436
18732,1221523.0,6054227.0,1,1,1,41.4047,9.2253
18716,1217537.0,6055905.0,1,1,1,41.4226,9.1794
18725,1220366.0,6057201.0,1,1,1,41.4322,9.2143
18729,1220838.0,6061599.0,1,1,1,41.4712,9.224
18735,1222465.0,6063031.0,1,1,0,41.4829,9.2448
18699,1212290.0,6063899.0,1,1,1,41.4978,9.1244
18676,1197615.0,6062914.0,1,1,1,41.499,8.9488
18731,1221428.0,6065853.0,1,1,1,41.5089,9.2351
18679,1199816.0,6064566.0,1,1,1,41.5123,8.9765
18737,1223114.0,6067471.0,1,1,1,41.5221,9.2567
18748,1226143.0,6070449.0,1,1,1,41.5466,9.2956
18765,1227879.0,6072111.0,1,1,1,41.5603,9.3179
18706,1214708.0,6072318.0,1,1,1,41.5715,9.1611
18739,1224184.0,6074831.0,1,1,1,41.5873,9.2764
18675,1197577.0,6073052.0,1,1,1,41.5898,8.9575
18762,1227484.0,6076362.0,1,1,1,41.5986,9.3172
18670,1194863.0,6073897.0,1,1,1,41.5992,8.9258
18738,1223741.0,6076383.0,1,1,1,41.6015,9.2726
18740,1224321.0,6077365.0,1,1,0,41.6098,9.2804
18678,1199157.0,6075805.0,1,1,0,41.6134,8.9788
18677,1198315.0,6076260.0,1,1,1,41.618,8.9692
18760,1227236.0,6081221.0,1,1,1,41.6423,9.3189
18713,1216582.0,6081423.0,1,1,1,41.6517,9.1919
18797,1230811.0,6082714.0,1,1,1,41.6531,9.363
18663,1192864.0,6081278.0,1,1,1,41.6667,8.9086
18700,1212469.0,6082994.0,1,1,1,41.6686,9.1443
18709,1215778.0,6083394.0,1,1,1,41.6699,9.1842
18662,1191776.0,6084197.0,1,1,1,41.6935,8.8982
18685,1205871.0,6086031.0,1,1,1,41.7004,9.0683
18691,1208129.0,6087910.0,1,1,1,41.7156,9.097
18791,1229311.0,6090072.0,1,1,1,41.72,9.3522
18644,1182873.0,6086893.0,1,1,1,41.7236,8.7942
18799,1232081.0,6092336.0,1,1,0,41.7383,9.3875
18704,1214228.0,6092159.0,1,1,1,41.7494,9.1739
18664,1193339.0,6091957.0,1,1,1,41.762,8.9239
18684,1203222.0,6092865.0,1,1,1,41.7634,9.0429
18632,1180475.0,6091628.0,1,1,1,41.7676,8.7697
18674,1197250.0,6094914.0,1,1,1,41.7858,8.9733
18626,1178756.0,6095523.0,1,1,0,41.8036,8.7525
18637,1181263.0,6098144.0,1,1,1,41.8254,8.7848
18656,1188766.0,6099303.0,1,1,0,41.8309,8.8757
18794,1229847.0,6102741.0,1,1,1,41.8331,9.3708
18672,1196048.0,6100387.0,1,1,0,41.8357,8.9639
18640,1181661.0,6099755.0,1,1,1,41.8396,8.791
18801,1232375.0,6105572.0,1,1,1,41.8566,9.4038
18639,1181557.0,6102341.0,1,1,1,41.8628,8.792
18665,1193372.0,6104794.0,1,1,1,41.8769,8.9358
18689,1207328.0,6107097.0,1,1,1,41.888,9.1052
18680,1200574.0,6106704.0,1,1,0,41.8892,9.0239
18643,1182785.0,6105968.0,1,1,1,41.8945,8.8099
18595,1172111.0,6106919.0,1,1,1,41.91,8.6828
