cluster,x,y,2G,3G,4G,latitude,longitude
434,103114.0,6848664.0,1,1,1,48.4629,-5.088
403,124571.0,6834344.0,1,1,1,48.3541,-4.7801
403,124695.0,6799102.0,1,0,0,48.0386,-4.7319
434,126832.0,6850891.0,1,1,0,48.5042,-4.7717
403,128752.0,6833527.0,1,1,1,48.3504,-4.7229
434,128841.0,6844669.0,1,1,1,48.4503,-4.7364
434,129846.0,6839759.0,1,1,0,48.4072,-4.7164
403,129878.0,6798001.0,1,1,0,48.0333,-4.6613
434,133248.0,6855889.0,1,1,0,48.5546,-4.6918
434,135262.0,6852772.0,1,1,1,48.5284,-4.6606
434,136709.0,6836971.0,1,1,1,48.3882,-4.6205
403,136926.0,6833491.0,1,1,1,48.3572,-4.613
434,137794.0,6843213.0,1,1,1,48.4451,-4.614
404,138073.0,6823980.0,1,1,1,48.2731,-4.5853
434,138848.0,6856585.0,1,1,0,48.5657,-4.6172
434,139226.0,6852004.0,1,1,1,48.525,-4.6061
404,140033.0,6795536.0,1,1,0,48.02,-4.5225
404,140606.0,6833537.0,1,1,1,48.3608,-4.5636
435,140746.0,6841216.0,1,1,1,48.4297,-4.5717
435,141217.0,6845048.0,1,1,1,48.4644,-4.5703
435,142727.0,6858669.0,1,0,0,48.5877,-4.5676
435,143252.0,6836009.0,1,1,1,48.3852,-4.5312
404,143253.0,6796649.0,1,1,0,48.0327,-4.4809
435,143534.0,6835381.0,1,1,1,48.3799,-4.5266
435,143721.0,6836353.0,0,1,0,48.3887,-4.5254
435,143744.0,6836137.0,1,1,1,48.3868,-4.5248
435,144650.0,6835630.0,1,1,1,48.383,-4.512
435,144702.0,6838541.0,1,1,1,48.4092,-4.515
435,145061.0,6841894.0,1,1,1,48.4395,-4.5145
435,145154.0,6836575.0,1,1,1,48.3919,-4.5064
435,145445.0,6860991.0,1,1,0,48.6108,-4.5339
435,145497.0,6835869.0,1,1,1,48.3859,-4.5009
404,145536.0,6820163.0,1,1,1,48.2453,-4.4803
435,145754.0,6837668.0,1,1,1,48.4022,-4.4997
435,145949.0,6847510.0,1,1,0,48.4905,-4.5097
404,146264.0,6791515.0,1,1,0,47.9892,-4.4342
435,146429.0,6836950.0,1,1,1,48.3964,-4.4897
435,146455.0,6836068.0,0,0,1,48.3885,-4.4882
435,146548.0,6836378.0,1,1,1,48.3914,-4.4874
435,146720.0,6836358.0,1,0,0,48.3913,-4.4851
435,146860.0,6836010.0,1,1,1,48.3883,-4.4827
435,146921.0,6836607.0,1,0,0,48.3937,-4.4827
435,147023.0,6856406.0,1,1,0,48.5711,-4.5067
435,147075.0,6839197.0,1,1,1,48.4171,-4.4839
435,147079.0,6836558.0,1,0,1,48.3934,-4.4805
435,147084.0,6836503.0,1,1,1,48.3929,-4.4803
435,147161.0,6837407.0,1,1,1,48.4011,-4.4805
435,147665.0,6835631.0,1,1,1,48.3856,-4.4714
435,147745.0,6840480.0,1,0,0,48.4291,-4.4765
435,147950.0,6843572.0,1,1,1,48.457,-4.4777
435,148323.0,6837516.0,1,1,1,48.4031,-4.465
435,148425.0,6836747.0,1,1,1,48.3963,-4.4626
435,148551.0,6838825.0,1,1,1,48.415,-4.4636
435,149088.0,6840371.0,1,1,1,48.4293,-4.4583
435,149477.0,6837139.0,1,1,1,48.4007,-4.449
404,150395.0,6831904.0,1,1,1,48.3546,-4.43
404,150462.0,6791556.0,1,1,1,47.9932,-4.3783
373,150583.0,6771074.0,1,1,1,47.8097,-4.3511
435,151156.0,6851526.0,1,1,1,48.5309,-4.4447
435,151910.0,6837619.0,1,1,1,48.407,-4.4169
435,152319.0,6841083.0,1,1,1,48.4384,-4.4157
435,152487.0,6848410.0,1,1,1,48.5042,-4.4228
404,153218.0,6801243.0,1,1,1,48.0823,-4.3535
373,153829.0,6771523.0,1,1,1,47.8165,-4.3085
435,154089.0,6837741.0,1,1,1,48.41,-4.3877
435,154306.0,6839028.0,1,1,1,48.4217,-4.3864
404,155170.0,6802286.0,0,1,0,48.0932,-4.3287
404,155240.0,6817286.0,1,1,1,48.2277,-4.3465
404,155247.0,6802051.0,1,1,1,48.0912,-4.3274
435,155464.0,6834857.0,1,1,0,48.3853,-4.3656
373,155483.0,6769022.0,1,1,1,47.7954,-4.2834
404,155868.0,6833207.0,1,1,1,48.3708,-4.3581
404,155961.0,6782583.0,1,1,1,47.9173,-4.2938
373,156017.0,6773969.0,1,1,1,47.8402,-4.2824
435,156065.0,6851087.0,1,1,0,48.5311,-4.3779
373,156515.0,6770098.0,1,1,0,47.8059,-4.271
404,157325.0,6801230.0,1,1,1,48.0856,-4.2986
404,157616.0,6780309.0,1,1,1,47.8983,-4.2689
435,157921.0,6864519.0,1,1,1,48.653,-4.3699
435,158914.0,6843963.0,1,1,1,48.4697,-4.3306
435,159024.0,6839619.0,1,1,0,48.4309,-4.3236
435,159611.0,6855434.0,1,1,1,48.5731,-4.3356
404,160628.0,6828145.0,1,1,0,48.3295,-4.2878
373,160705.0,6777708.0,1,1,1,47.8776,-4.2245
404,160785.0,6795341.0,1,1,0,48.0357,-4.2451
435,161570.0,6850923.0,1,1,0,48.5343,-4.3035
404,161706.0,6793610.0,1,1,0,48.0209,-4.2307
404,161933.0,6832674.0,1,1,1,48.3711,-4.2758
373,162273.0,6772659.0,1,1,1,47.8336,-4.1975
435,163595.0,6842726.0,1,1,0,48.4625,-4.266
404,163709.0,6805590.0,1,1,1,48.1299,-4.2186
404,163742.0,6796442.0,1,1,0,48.048,-4.2069
404,164134.0,6789263.0,1,1,1,47.9839,-4.1929
373,164137.0,6771745.0,1,1,1,47.8269,-4.1716
435,164267.0,6844986.0,1,1,1,48.4833,-4.2597
404,164414.0,6784959.0,1,1,1,47.9456,-4.1839
404,165101.0,6777825.0,1,1,1,47.8822,-4.1661
404,165139.0,6827759.0,1,0,0,48.3297,-4.2267
404,165364.0,6801015.0,1,1,1,48.0903,-4.1908
435,165631.0,6840486.0,1,1,0,48.4441,-4.2358
404,167109.0,6825075.0,1,1,0,48.3073,-4.1969
404,167519.0,6787028.0,1,1,1,47.9667,-4.145
404,168674.0,6790255.0,1,1,1,47.9965,-4.1335
404,168713.0,6815146.0,1,1,0,48.2196,-4.1632
404,168878.0,6788866.0,1,1,1,47.9843,-4.1291
373,169268.0,6776941.0,1,1,1,47.8777,-4.1095
404,169647.0,6803844.0,1,1,1,48.1191,-4.137
404,169990.0,6821085.0,1,1,1,48.2739,-4.1533
435,170270.0,6859678.0,1,1,1,48.6199,-4.1969
404,170434.0,6790017.0,1,1,1,47.9958,-4.1097
404,170783.0,6788421.0,1,1,1,47.9818,-4.1031
404,170852.0,6789624.0,1,1,1,47.9926,-4.1037
435,171274.0,6851221.0,1,1,0,48.5449,-4.173
404,171311.0,6791312.0,1,1,1,48.0081,-4.0996
404,171390.0,6787545.0,1,1,1,47.9744,-4.094
435,171404.0,6864240.0,1,1,1,48.6617,-4.1872
404,171405.0,6812711.0,1,1,1,48.2,-4.1242
404,171456.0,6788885.0,1,1,1,47.9865,-4.0947
405,171796.0,6782037.0,1,1,1,47.9254,-4.082
404,171957.0,6788991.0,1,1,1,47.9879,-4.0882
405,172654.0,6787476.0,1,1,1,47.9748,-4.077
405,172709.0,6787789.0,1,0,0,47.9777,-4.0767
405,172752.0,6789975.0,1,1,1,47.9973,-4.0787
404,172985.0,6818736.0,1,1,1,48.2553,-4.1103
405,173060.0,6788213.0,1,1,1,47.9818,-4.0725
405,173241.0,6794609.0,1,1,1,48.0393,-4.0778
405,173396.0,6780325.0,1,1,1,47.9113,-4.0586
435,173583.0,6863576.0,1,1,1,48.6575,-4.1569
435,173795.0,6846192.0,1,1,0,48.5019,-4.1328
435,174875.0,6855144.0,1,1,1,48.583,-4.1292
405,175043.0,6790725.0,1,1,1,48.0059,-4.049
405,175594.0,6813345.0,1,1,1,48.2091,-4.0688
405,175721.0,6777789.0,1,1,1,47.8905,-4.0246
435,175866.0,6857013.0,1,1,1,48.6006,-4.1181
405,176097.0,6788098.0,1,1,1,47.9832,-4.0318
436,176344.0,6834515.0,1,1,0,48.3994,-4.0843
405,176539.0,6783398.0,1,1,1,47.9414,-4.0203
