,x,y,2G,3G,4G,latitude,longitude
12230,1216260.0,6051919.0,0,1,1,41.3878,9.1606
12231,1217538.0,6055899.0,0,1,0,41.4225,9.1795
12240,1222465.0,6063031.0,0,1,0,41.4829,9.2448
12241,1224184.0,6074832.0,0,1,1,41.5873,9.2764
12252,1227482.0,6076394.0,0,1,1,41.5989,9.3172
12242,1224371.0,6077402.0,0,1,0,41.6101,9.2811
12215,1206080.0,6079233.0,0,1,0,41.6394,9.0645
12207,1192863.0,6081310.0,0,1,1,41.6669,8.9086
12228,1215780.0,6083347.0,0,1,1,41.6694,9.1842
12210,1197593.0,6083340.0,0,1,1,41.6819,8.9669
12262,1229317.0,6090039.0,0,1,1,41.7197,9.3522
12219,1208004.0,6092025.0,0,1,0,41.7526,9.0993
12208,1193352.0,6092004.0,0,1,1,41.7624,8.9241
12214,1203212.0,6092857.0,0,1,1,41.7633,9.0428
12197,1180107.0,6091654.0,0,1,1,41.7681,8.7653
12198,1180107.0,6091654.0,0,1,1,41.7681,8.7653
12203,1188766.0,6099303.0,0,1,0,41.8309,8.8757
12211,1200574.0,6106705.0,0,1,0,41.8892,9.0239
12190,1176522.0,6108479.0,0,1,1,41.9211,8.737
12235,1220034.0,6112019.0,0,1,0,41.9232,9.2622
12195,1179318.0,6109558.0,0,1,1,41.929,8.7715
12188,1176179.0,6109462.0,0,1,1,41.9302,8.7338
12249,1226715.0,6113839.0,0,1,1,41.9347,9.344
12192,1177784.0,6110245.0,0,1,1,41.9361,8.7537
12191,1177477.0,6110667.0,0,1,1,41.9401,8.7504
12187,1175621.0,6110581.0,0,1,1,41.9406,8.7281
12222,1210571.0,6114481.0,0,1,0,41.9519,9.151
12185,1173236.0,6111876.0,0,1,1,41.9537,8.7006
12225,1213789.0,6116068.0,0,1,0,41.9639,9.1911
12239,1222300.0,6118600.0,0,1,0,41.9805,9.2956
12266,1231084.0,6123338.0,0,1,0,42.0166,9.4057
12267,1232293.0,6128864.0,0,1,1,42.0652,9.4256
12205,1189376.0,6126291.0,0,1,0,42.0722,8.9072
12204,1189237.0,6126464.0,0,1,0,42.0739,8.9057
12212,1201113.0,6128554.0,0,1,0,42.0845,9.0505
12216,1206222.0,6131725.0,0,1,0,42.1094,9.1149
12226,1214068.0,6133394.0,0,1,0,42.1189,9.2108
12201,1185507.0,6132023.0,0,1,0,42.1262,8.8658
12180,1162701.0,6131226.0,0,1,1,42.1339,8.5906
12220,1208631.0,6137045.0,0,1,0,42.1554,9.1488
12181,1162930.0,6134497.0,0,1,1,42.1631,8.5961
12206,1191210.0,6136875.0,0,1,0,42.1658,8.9389
12243,1224428.0,6139753.0,0,1,1,42.1684,9.3416
12194,1179078.0,6137243.0,0,1,0,42.1772,8.7931
12199,1181434.0,6142810.0,0,1,0,42.2256,8.8264
12223,1211287.0,6146293.0,0,1,0,42.2364,9.1896
12182,1164378.0,6142966.0,0,1,0,42.2381,8.6208
12217,1207832.0,6153248.0,0,1,1,42.3011,9.1544
12251,1227228.0,6157294.0,0,1,0,42.3235,9.3925
12218,1207890.0,6156458.0,0,1,1,42.3298,9.1582
12189,1176214.0,6158845.0,0,1,0,42.3727,8.7776
12234,1218959.0,6162127.0,0,1,0,42.3728,9.2973
12221,1210306.0,6161596.0,0,1,1,42.3742,9.1922
12269,1238051.0,6163855.0,0,1,1,42.3743,9.5297
3625,620528.0,6143471.0,0,1,0,42.3868,2.0364
5126,659916.0,6143838.0,0,1,1,42.3934,2.5139
12184,1171848.0,6162589.0,0,1,0,42.4091,8.7281
4581,651358.0,6145682.0,0,1,1,42.4094,2.41
12224,1213298.0,6166206.0,0,1,1,42.4134,9.2328
12245,1224875.0,6167987.0,0,1,0,42.421,9.3745
6557,714352.0,6148885.0,0,1,0,42.4397,3.1742
5447,668138.0,6149102.0,0,1,1,42.4411,2.6133
12268,1236723.0,6171598.0,0,1,1,42.4447,9.5214
6514,712541.0,6151928.0,0,1,1,42.4671,3.1523
5565,672756.0,6153068.0,0,1,1,42.477,2.6692
6486,711474.0,6153181.0,0,1,0,42.4784,3.1393
4121,643504.0,6153751.0,0,1,0,42.4814,2.3139
5516,670699.0,6153571.0,0,1,1,42.4814,2.6442
12247,1225957.0,6175530.0,0,1,0,42.4878,9.395
12264,1230247.0,6176224.0,0,1,1,42.4909,9.4476
12227,1214970.0,6175511.0,0,1,0,42.4956,9.2619
5688,678241.0,6155587.0,0,1,1,42.4998,2.7357
4370,648377.0,6156708.0,0,1,0,42.5083,2.3728
6413,709167.0,6156879.0,0,1,1,42.5117,3.1114
12196,1179911.0,6174662.0,0,1,1,42.5121,8.8365
12183,1168001.0,6173910.0,0,1,0,42.5131,8.6915
12209,1193937.0,6176174.0,0,1,0,42.5162,9.0078
