cluster,x,y,2G,3G,4G,latitude,longitude
273.0,128760.0,6833539.0,0,1,1,48.3506,-4.7228
294.0,128862.0,6844668.0,0,1,1,48.4503,-4.7361
294.0,129220.0,6848789.0,0,1,1,48.4875,-4.7367
273.0,129898.0,6798012.0,0,1,1,48.0334,-4.661
273.0,134823.0,6834038.0,0,1,1,48.3603,-4.642
294.0,135264.0,6852783.0,0,1,0,48.5285,-4.6606
294.0,137945.0,6843006.0,0,1,1,48.4433,-4.6117
294.0,138048.0,6836906.0,0,1,1,48.3888,-4.6024
273.0,138179.0,6823798.0,0,1,0,48.2715,-4.5836
294.0,139223.0,6852006.0,0,1,0,48.525,-4.6062
273.0,140035.0,6795539.0,0,1,1,48.02,-4.5225
294.0,141897.0,6840844.0,0,1,1,48.4274,-4.5557
273.0,143261.0,6796657.0,0,1,1,48.0328,-4.4808
273.0,143846.0,6836139.0,0,1,1,48.3869,-4.5234
273.0,144487.0,6820496.0,0,1,1,48.2474,-4.4948
273.0,144668.0,6835629.0,0,1,1,48.3831,-4.5117
294.0,144775.0,6838411.0,0,1,1,48.4081,-4.5138
294.0,145062.0,6841894.0,0,1,1,48.4395,-4.5145
294.0,145247.0,6836492.0,0,1,1,48.3913,-4.505
294.0,145754.0,6837679.0,0,1,1,48.4023,-4.4997
294.0,146011.0,6838496.0,0,1,1,48.4099,-4.4973
294.0,146069.0,6836684.0,0,1,1,48.3937,-4.4942
273.0,146265.0,6791515.0,0,1,1,47.9892,-4.4342
294.0,146758.0,6840049.0,0,1,0,48.4244,-4.4893
294.0,146887.0,6837043.0,0,1,1,48.3976,-4.4837
294.0,147007.0,6856437.0,0,1,1,48.5714,-4.5069
294.0,147877.0,6838761.0,0,1,1,48.4138,-4.4726
294.0,147945.0,6843572.0,0,1,1,48.457,-4.4778
294.0,148088.0,6837614.0,0,1,1,48.4037,-4.4683
294.0,148440.0,6836762.0,0,1,1,48.3964,-4.4624
294.0,148652.0,6837910.0,0,1,1,48.4069,-4.461
294.0,149153.0,6840450.0,0,1,1,48.43,-4.4575
294.0,149515.0,6836165.0,0,1,1,48.392,-4.4472
294.0,149692.0,6837097.0,0,1,1,48.4005,-4.446
273.0,150617.0,6832088.0,0,1,1,48.3564,-4.4272
294.0,152321.0,6841091.0,0,1,0,48.4385,-4.4157
273.0,153234.0,6801237.0,0,1,1,48.0822,-4.3533
294.0,154303.0,6839035.0,0,1,1,48.4217,-4.3864
273.0,155240.0,6817286.0,0,1,1,48.2277,-4.3465
273.0,155358.0,6787625.0,0,1,0,47.962,-4.308
273.0,155875.0,6833198.0,0,1,1,48.3708,-4.3579
273.0,155962.0,6782584.0,0,1,1,47.9174,-4.2937
252.0,156543.0,6770102.0,0,1,1,47.806,-4.2706
273.0,157616.0,6780309.0,0,1,1,47.8983,-4.2689
294.0,159626.0,6835179.0,0,1,1,48.3916,-4.31
294.0,160352.0,6856028.0,0,1,1,48.579,-4.3263
273.0,160629.0,6828146.0,0,1,1,48.3295,-4.2877
294.0,161623.0,6850861.0,0,1,1,48.5338,-4.3027
274.0,161716.0,6793632.0,0,1,1,48.0211,-4.2306
294.0,163190.0,6858456.0,0,1,0,48.6031,-4.291
274.0,163710.0,6805590.0,0,1,1,48.1299,-4.2186
294.0,163836.0,6842325.0,0,1,1,48.4591,-4.2622
273.0,163982.0,6831586.0,0,1,1,48.3631,-4.2469
253.0,164103.0,6771701.0,0,1,1,47.8265,-4.172
274.0,164135.0,6789264.0,0,1,1,47.984,-4.1929
294.0,164267.0,6844986.0,0,1,0,48.4833,-4.2597
253.0,165096.0,6777813.0,0,1,1,47.8821,-4.1662
274.0,165364.0,6801016.0,0,1,1,48.0903,-4.1908
295.0,165637.0,6840486.0,0,1,0,48.4441,-4.2357
274.0,167167.0,6825069.0,0,1,1,48.3073,-4.1961
253.0,167471.0,6776976.0,0,1,1,47.8765,-4.1335
274.0,167519.0,6787028.0,0,1,1,47.9667,-4.145
295.0,168631.0,6859865.0,0,1,0,48.6202,-4.2193
274.0,168684.0,6790247.0,0,1,0,47.9965,-4.1334
274.0,169648.0,6803845.0,0,1,1,48.1191,-4.137
274.0,170166.0,6821193.0,0,1,1,48.275,-4.1511
295.0,171275.0,6851222.0,0,1,0,48.5449,-4.1729
274.0,171298.0,6812658.0,0,1,1,48.1994,-4.1255
295.0,171445.0,6864236.0,0,1,1,48.6617,-4.1867
274.0,171694.0,6789013.0,0,1,1,47.9878,-4.0917
274.0,171772.0,6781994.0,0,1,1,47.925,-4.0822
274.0,172387.0,6792340.0,0,1,1,48.0182,-4.0864
274.0,172661.0,6787481.0,0,1,0,47.9749,-4.0769
274.0,172752.0,6789975.0,0,1,1,47.9973,-4.0787
295.0,173796.0,6846193.0,0,1,0,48.5019,-4.1328
274.0,173906.0,6794633.0,0,1,1,48.04,-4.0689
274.0,175044.0,6790725.0,0,1,1,48.0059,-4.049
274.0,175215.0,6818660.0,0,1,1,48.2564,-4.0803
274.0,175724.0,6777736.0,0,1,1,47.89,-4.0245
295.0,175896.0,6857044.0,0,1,1,48.6009,-4.1177
274.0,176281.0,6813698.0,0,1,1,48.2128,-4.06
295.0,176371.0,6834512.0,0,1,1,48.3994,-4.0839
253.0,176659.0,6774723.0,0,1,1,47.8637,-4.0084
274.0,177170.0,6806954.0,0,1,1,48.1531,-4.04
274.0,177349.0,6790987.0,0,1,1,48.0101,-4.0185
295.0,177547.0,6864630.0,0,1,1,48.6702,-4.1046
274.0,177786.0,6800855.0,0,1,1,48.0989,-4.0245
274.0,178553.0,6786600.0,0,1,1,47.9717,-3.9972
295.0,179869.0,6847289.0,0,1,1,48.5167,-4.0522
274.0,181438.0,6828139.0,0,1,0,48.3463,-4.0081
274.0,182299.0,6785221.0,0,1,1,47.9623,-3.9456
274.0,183175.0,6780537.0,0,1,1,47.921,-3.9284
253.0,183607.0,6776139.0,0,1,1,47.8819,-3.9175
274.0,184103.0,6814552.0,0,1,1,48.2267,-3.9561
274.0,184264.0,6778400.0,0,1,1,47.9027,-3.9114
295.0,185037.0,6866376.0,0,1,1,48.6918,-4.0054
295.0,185499.0,6859798.0,0,1,1,48.6332,-3.9913
295.0,186564.0,6863678.0,0,1,0,48.6689,-3.9815
274.0,187745.0,6787979.0,0,1,1,47.9913,-3.8761
295.0,187868.0,6869443.0,0,1,0,48.7215,-3.9708
295.0,188432.0,6847523.0,0,1,1,48.5256,-3.937
253.0,188519.0,6767014.0,0,1,0,47.804,-3.8415
274.0,188653.0,6778130.0,0,1,1,47.9037,-3.8526
253.0,189923.0,6772796.0,0,1,1,47.8569,-3.8295
295.0,190843.0,6834786.0,0,1,1,48.4133,-3.8894
295.0,192180.0,6857042.0,0,1,1,48.6138,-3.8977
274.0,192411.0,6796152.0,0,1,1,48.0682,-3.8233
295.0,192559.0,6845453.0,0,1,1,48.5103,-3.8789
274.0,192564.0,6776567.0,0,1,1,47.8928,-3.7986
295.0,194316.0,6857565.0,0,1,0,48.6202,-3.8694
274.0,194932.0,6784120.0,0,1,1,47.9623,-3.7757
274.0,195161.0,6808814.0,0,1,1,48.1839,-3.8011
295.0,195179.0,6850944.0,0,1,1,48.5615,-3.85
253.0,196111.0,6772484.0,0,1,1,47.8589,-3.7467
295.0,197065.0,6852780.0,0,1,1,48.5794,-3.8267
295.0,197280.0,6850747.0,0,1,1,48.5614,-3.8214
274.0,200506.0,6826688.0,0,1,0,48.3482,-3.75
275.0,201112.0,6788165.0,0,1,1,48.0033,-3.6978
295.0,201357.0,6852471.0,0,1,1,48.58,-3.7683
254.0,204159.0,6773751.0,0,1,1,47.8764,-3.6408
296.0,205292.0,6858874.0,0,1,1,48.6404,-3.7226
296.0,208218.0,6851141.0,0,1,1,48.5733,-3.6741
275.0,208807.0,6824971.0,0,1,1,48.3392,-3.6364
275.0,208976.0,6811716.0,0,1,0,48.2205,-3.6191
275.0,210623.0,6801702.0,0,1,1,48.1319,-3.5858
254.0,210719.0,6771714.0,0,1,1,47.863,-3.5511
275.0,211910.0,6816340.0,0,1,1,48.2641,-3.585
296.0,212705.0,6859534.0,0,1,1,48.6519,-3.6231
275.0,213056.0,6782469.0,0,1,1,47.9612,-3.5319
296.0,213280.0,6844581.0,0,1,1,48.5183,-3.5983
275.0,213434.0,6775273.0,0,1,1,47.897,-3.5189
254.0,216529.0,6771368.0,0,1,1,47.8643,-3.4733
275.0,216704.0,6791723.0,0,1,1,48.0469,-3.4933
296.0,217020.0,6872893.0,0,1,1,48.7749,-3.5798
296.0,217221.0,6832663.0,0,1,0,48.4144,-3.5318
254.0,218849.0,6756868.0,0,1,1,47.7359,-3.4266
296.0,219250.0,6872293.0,0,1,1,48.7712,-3.5489
296.0,219804.0,6863443.0,0,1,1,48.6923,-3.5314
254.0,220043.0,6761985.0,0,1,1,47.7827,-3.4163
254.0,220412.0,6755589.0,0,1,1,47.7256,-3.4044
296.0,220523.0,6837943.0,0,1,0,48.4642,-3.4932
275.0,220669.0,6810199.0,0,1,1,48.2156,-3.4606
254.0,221124.0,6758194.0,0,1,1,47.7494,-3.3978
275.0,221273.0,6815539.0,0,1,1,48.2639,-3.4583
254.0,221341.0,6757474.0,0,1,1,47.7431,-3.3941
296.0,221379.0,6872292.0,0,1,1,48.7728,-3.52
296.0,221468.0,6844806.0,0,1,1,48.5265,-3.4881
254.0,221531.0,6768727.0,0,1,1,47.8442,-3.4038
254.0,221797.0,6759782.0,0,1,1,47.7642,-3.3906
296.0,221868.0,6854132.0,0,1,1,48.6104,-3.4931
296.0,222199.0,6869913.0,0,1,1,48.7521,-3.5062
254.0,222333.0,6756818.0,0,1,1,47.738,-3.3802
254.0,223004.0,6757154.0,0,1,1,47.7415,-3.3717
254.0,223163.0,6758270.0,0,1,1,47.7516,-3.3708
254.0,223544.0,6756325.0,0,1,1,47.7344,-3.3636
254.0,223719.0,6758548.0,0,1,1,47.7545,-3.3637
254.0,224161.0,6757545.0,0,1,1,47.7458,-3.3567
254.0,224209.0,6759735.0,0,1,1,47.7655,-3.3584
296.0,224226.0,6866819.0,0,1,1,48.7258,-3.4753
296.0,224776.0,6871764.0,0,1,1,48.7706,-3.4733
254.0,224865.0,6770312.0,0,1,1,47.8609,-3.361
275.0,224872.0,6821384.0,0,1,0,48.3189,-3.4164
296.0,225202.0,6875454.0,0,1,0,48.804,-3.4717
254.0,225395.0,6763762.0,0,1,1,47.8025,-3.3469
254.0,225705.0,6761128.0,0,1,1,47.7791,-3.34
254.0,225751.0,6758721.0,0,1,0,47.7575,-3.3368
254.0,225897.0,6753872.0,0,1,1,47.7141,-3.3297
296.0,226955.0,6867606.0,0,1,1,48.7349,-3.4392
254.0,227288.0,6762402.0,0,1,0,47.7917,-3.3203
296.0,227291.0,6830097.0,0,1,0,48.3988,-3.3934
296.0,227315.0,6864197.0,0,1,1,48.7046,-3.4305
275.0,227807.0,6777298.0,0,1,1,47.9257,-3.3293
275.0,228307.0,6800106.0,0,1,0,48.1306,-3.3472
296.0,230373.0,6873032.0,0,1,1,48.786,-3.3988
254.0,230995.0,6763097.0,0,1,1,47.8005,-3.2717
275.0,231694.0,6783632.0,0,1,1,47.9853,-3.2842
254.0,231896.0,6752320.0,0,1,0,47.7045,-3.2483
254.0,231992.0,6766224.0,0,1,1,47.8293,-3.2617
254.0,232439.0,6762642.0,0,1,1,47.7975,-3.252
254.0,232556.0,6758856.0,0,1,1,47.7636,-3.2464
275.0,232748.0,6773487.0,0,1,0,47.895,-3.2593
275.0,233141.0,6821967.0,0,1,0,48.3302,-3.3058
275.0,233287.0,6828222.0,0,1,0,48.3864,-3.3106
255.0,233704.0,6755018.0,0,1,1,47.73,-3.2271
296.0,233822.0,6875457.0,0,1,1,48.8103,-3.3547
296.0,235405.0,6838681.0,0,1,0,48.4817,-3.2933
275.0,236440.0,6812271.0,0,1,1,48.2456,-3.2511
275.0,236554.0,6826816.0,0,1,0,48.3761,-3.2651
296.0,237158.0,6875747.0,0,1,0,48.8153,-3.3097
255.0,237521.0,6744410.0,0,1,1,47.6375,-3.1653
255.0,239111.0,6766696.0,0,1,1,47.8386,-3.1673
255.0,239466.0,6728083.0,0,1,1,47.4923,-3.1226
276.0,241048.0,6781253.0,0,1,1,47.9706,-3.1567
297.0,242162.0,6867385.0,0,1,1,48.7439,-3.2328
297.0,242392.0,6873627.0,0,1,1,48.8,-3.2364
297.0,242959.0,6836468.0,0,1,1,48.4672,-3.1891
255.0,243022.0,6756546.0,0,1,1,47.7502,-3.1047
255.0,243053.0,6738478.0,0,1,1,47.5881,-3.0857
276.0,243059.0,6819678.0,0,1,1,48.3167,-3.17
276.0,243251.0,6804197.0,0,1,0,48.1779,-3.1512
255.0,243261.0,6751795.0,0,1,1,47.7078,-3.0967
297.0,243887.0,6847146.0,0,1,1,48.5636,-3.1879
297.0,243907.0,6872857.0,0,1,1,48.7942,-3.215
297.0,245550.0,6827821.0,0,1,0,48.3915,-3.145
255.0,245701.0,6745593.0,0,1,1,47.6538,-3.0579
255.0,246141.0,6738899.0,0,1,1,47.594,-3.0452
255.0,247489.0,6750672.0,0,1,1,47.7006,-3.0393
297.0,247708.0,6862026.0,0,1,1,48.6997,-3.1519
297.0,247875.0,6847224.0,0,1,1,48.5671,-3.1341
276.0,248409.0,6772262.0,0,1,1,47.895,-3.0491
276.0,248409.0,6798516.0,0,1,1,48.1306,-3.0761
297.0,248691.0,6854111.0,0,1,1,48.6294,-3.1303
297.0,249273.0,6845626.0,0,1,1,48.5537,-3.1135
255.0,249515.0,6746666.0,0,1,1,47.6661,-3.0083
276.0,249539.0,6821160.0,0,1,0,48.3345,-3.0844
255.0,249613.0,6769569.0,0,1,1,47.8717,-3.0303
297.0,250018.0,6858779.0,0,1,1,48.6722,-3.1172
255.0,250865.0,6744727.0,0,1,1,47.6496,-2.9884
