,x,y,2G,3G,4G,latitude,longitude
24549,1225227.0,6050021.0,1,1,0,41.3645,9.2653
24522,1217908.0,6050552.0,1,1,1,41.3744,9.1789
24518,1216262.0,6051931.0,1,1,1,41.3879,9.1606
24525,1219236.0,6053952.0,1,1,0,41.4039,9.1978
24512,1214073.0,6055761.0,1,1,0,41.4237,9.1381
24523,1218192.0,6056239.0,1,1,0,41.4251,9.1875
24535,1222537.0,6063062.0,1,0,0,41.4831,9.2456
24536,1222914.0,6063284.0,1,1,0,41.4848,9.2503
24506,1212522.0,6062781.0,0,0,0,41.4876,9.1262
24505,1212449.0,6062784.0,1,1,1,41.4877,9.1253
24492,1206539.0,6063443.0,1,1,1,41.4977,9.0555
24533,1221438.0,6065789.0,1,1,1,41.5083,9.2351
24480,1199831.0,6064560.0,1,1,1,41.5123,8.9767
24548,1224990.0,6069383.0,1,1,1,41.5379,9.2808
24457,1189725.0,6066971.0,1,1,1,41.5406,8.8584
24553,1226107.0,6070373.0,1,1,0,41.546,9.2951
24568,1227898.0,6072156.0,1,1,0,41.5607,9.3181
24514,1214683.0,6072289.0,1,1,1,41.5712,9.1607
24545,1224520.0,6074386.0,1,1,1,41.583,9.28
24537,1223384.0,6074973.0,1,1,1,41.5891,9.267
24540,1224087.0,6075164.0,1,1,1,41.5903,9.2756
24541,1224121.0,6075608.0,1,1,1,41.5943,9.2764
24565,1227514.0,6076402.0,1,1,1,41.5989,9.3176
24471,1195014.0,6073942.0,1,1,1,41.5995,8.9277
24543,1224343.0,6077346.0,1,1,1,41.6097,9.2807
24478,1198258.0,6076235.0,1,1,0,41.6179,8.9685
24479,1198943.0,6076958.0,1,1,1,41.6239,8.9773
24491,1206446.0,6078058.0,0,1,0,41.6286,9.0678
24539,1224035.0,6079768.0,1,1,1,41.6316,9.2793
24562,1227134.0,6080109.0,1,1,1,41.6324,9.3166
24450,1187479.0,6077188.0,1,1,0,41.6336,8.8407
24596,1230720.0,6084175.0,1,1,1,41.6662,9.3633
24516,1215849.0,6083448.0,1,1,1,41.6703,9.1851
24469,1194194.0,6082058.0,1,1,1,41.6728,8.9252
24463,1193177.0,6082297.0,1,1,1,41.6756,8.9132
24488,1205736.0,6085018.0,1,1,0,41.6914,9.0657
24464,1193296.0,6084537.0,1,1,0,41.6956,8.9167
24467,1193796.0,6086389.0,1,1,1,41.7118,8.9243
24489,1205978.0,6087730.0,1,1,0,41.7155,9.0711
24589,1229316.0,6090059.0,1,1,1,41.7199,9.3522
