cluster,x,y,2G,3G,4G,latitude,longitude
434,102980.0,6847973.0,1,1,0,48.4566,-5.0889
434,112032.0,6840427.0,0,1,1,48.3973,-4.9568
403,115635.0,6799938.0,1,1,0,48.0381,-4.854
403,124754.0,6834397.0,1,1,0,48.3547,-4.7777
434,126839.0,6850905.0,1,1,0,48.5043,-4.7716
434,127568.0,6845233.0,1,1,1,48.4542,-4.7543
403,128710.0,6798555.0,1,1,1,48.0372,-4.6776
403,128766.0,6833546.0,1,1,1,48.3506,-4.7227
434,129865.0,6839792.0,1,1,1,48.4075,-4.7162
434,135264.0,6852806.0,1,1,1,48.5288,-4.6606
403,135485.0,6833857.0,1,1,1,48.3593,-4.6328
434,136567.0,6836278.0,0,1,1,48.3819,-4.6215
434,136595.0,6841496.0,0,1,1,48.4286,-4.6279
434,136672.0,6836980.0,1,1,0,48.3883,-4.621
434,137508.0,6843513.0,1,1,1,48.4475,-4.6182
434,137903.0,6835712.0,1,1,1,48.378,-4.6028
404,138074.0,6823972.0,1,1,0,48.273,-4.5853
404,139381.0,6812351.0,1,1,0,48.17,-4.5528
435,139907.0,6835500.0,1,1,0,48.3778,-4.5756
404,140028.0,6795550.0,1,1,1,48.0201,-4.5226
404,140057.0,6833570.0,1,1,1,48.3607,-4.571
435,140754.0,6841227.0,1,1,1,48.4298,-4.5716
404,141469.0,6794973.0,1,1,1,48.0162,-4.5026
435,141899.0,6840848.0,1,1,1,48.4274,-4.5557
435,142146.0,6834833.0,1,1,0,48.3738,-4.5446
435,142162.0,6845551.0,1,1,0,48.4698,-4.5582
435,142505.0,6839777.0,1,1,0,48.4183,-4.5461
404,142613.0,6818411.0,0,1,1,48.2271,-4.5172
435,142726.0,6858673.0,1,1,0,48.5877,-4.5676
435,142764.0,6835819.0,0,1,1,48.3831,-4.5376
435,143096.0,6835223.0,1,1,0,48.3781,-4.5323
404,143246.0,6796660.0,1,1,0,48.0328,-4.481
435,143706.0,6835896.0,1,1,1,48.3846,-4.525
435,144094.0,6837276.0,1,1,1,48.3973,-4.5215
404,144607.0,6820243.0,1,1,1,48.2452,-4.4928
435,144789.0,6838423.0,1,1,1,48.4082,-4.5137
435,144796.0,6835589.0,1,1,1,48.3828,-4.5099
435,145035.0,6836166.0,0,1,1,48.3882,-4.5075
435,145060.0,6841895.0,1,1,0,48.4395,-4.5145
435,145216.0,6837970.0,1,1,1,48.4045,-4.5073
435,145233.0,6836599.0,1,1,1,48.3922,-4.5054
435,145347.0,6835997.0,1,0,0,48.3869,-4.5031
435,145453.0,6855967.0,0,1,0,48.5659,-4.5273
404,145456.0,6823087.0,0,0,0,48.2714,-4.4851
435,145615.0,6835818.0,1,1,1,48.3856,-4.4992
435,145696.0,6838740.0,1,1,0,48.4118,-4.5019
435,146059.0,6857350.0,1,1,1,48.5788,-4.5209
435,146090.0,6835696.0,1,1,0,48.3849,-4.4927
435,146280.0,6837789.0,1,1,1,48.4038,-4.4928
435,146427.0,6836272.0,1,1,1,48.3903,-4.4889
435,146440.0,6836946.0,1,1,1,48.3964,-4.4896
404,146703.0,6791134.0,1,1,0,47.9862,-4.4279
435,146756.0,6852775.0,1,1,0,48.5384,-4.5056
435,146759.0,6840053.0,1,1,1,48.4245,-4.4893
435,146763.0,6848446.0,1,1,0,48.4996,-4.5
435,146822.0,6836040.0,1,1,1,48.3886,-4.4833
435,146884.0,6836539.0,1,1,1,48.3931,-4.4831
435,146980.0,6837209.0,1,1,1,48.3992,-4.4826
435,147052.0,6836897.0,0,1,1,48.3964,-4.4813
435,147126.0,6836537.0,0,0,0,48.3933,-4.4798
435,147306.0,6839053.0,1,1,1,48.416,-4.4806
435,147478.0,6836749.0,1,1,1,48.3955,-4.4754
435,147489.0,6838248.0,1,1,1,48.4089,-4.4771
435,147660.0,6836184.0,1,1,1,48.3906,-4.4722
404,147805.0,6823979.0,1,1,0,48.2814,-4.4547
404,147979.0,6799006.0,1,1,0,48.0578,-4.4208
435,147982.0,6843617.0,1,1,1,48.4574,-4.4774
435,148091.0,6837628.0,1,1,1,48.4039,-4.4682
435,148146.0,6842502.0,1,1,1,48.4476,-4.4737
435,148205.0,6860258.0,1,1,1,48.6066,-4.4957
435,148528.0,6836661.0,1,1,1,48.3956,-4.4611
435,148587.0,6838831.0,0,1,0,48.4151,-4.4631
435,148917.0,6839329.0,1,1,1,48.4198,-4.4593
