,x,y,2G,3G,4G,latitude,longitude
21354,1219462.0,6051227.0,1,1,1,41.3793,9.198
21344,1216130.0,6051884.0,1,1,1,41.3875,9.159
21346,1216493.0,6052118.0,1,1,1,41.3894,9.1635
21369,1223061.0,6054268.0,1,1,1,41.404,9.2436
21365,1221609.0,6054410.0,1,1,1,41.4063,9.2265
21349,1217537.0,6055905.0,1,1,1,41.4226,9.1794
21337,1214114.0,6055755.0,1,1,0,41.4236,9.1386
21358,1220371.0,6057210.0,1,1,1,41.4322,9.2144
21362,1220793.0,6061604.0,1,1,1,41.4713,9.2235
21368,1222911.0,6063281.0,1,1,0,41.4848,9.2503
21332,1212290.0,6063899.0,1,1,1,41.4978,9.1244
21306,1197615.0,6062914.0,1,1,0,41.499,8.9488
21364,1221424.0,6065813.0,1,1,1,41.5085,9.235
21309,1199816.0,6064566.0,1,1,1,41.5123,8.9765
21370,1223114.0,6067471.0,1,1,1,41.5221,9.2567
21380,1226105.0,6070375.0,1,1,1,41.546,9.2951
21397,1227887.0,6072112.0,1,1,1,41.5603,9.318
21340,1214708.0,6072318.0,1,1,1,41.5715,9.1611
21372,1224185.0,6074845.0,1,1,1,41.5874,9.2764
21305,1197577.0,6073052.0,1,1,0,41.5898,8.9575
21392,1227509.0,6076398.0,1,1,1,41.5989,9.3175
21301,1194863.0,6073897.0,1,1,1,41.5992,8.9258
21371,1223820.0,6076383.0,1,1,1,41.6014,9.2735
21308,1198328.0,6076270.0,1,1,1,41.6181,8.9693
21318,1206446.0,6078056.0,1,1,0,41.6286,9.0678
21390,1227236.0,6081221.0,1,1,1,41.6423,9.3189
21347,1216567.0,6081406.0,1,1,1,41.6515,9.1917
21430,1230833.0,6082711.0,1,1,1,41.653,9.3633
21295,1192881.0,6081294.0,1,1,1,41.6668,8.9088
21333,1212459.0,6082975.0,1,1,1,41.6684,9.1442
21343,1215830.0,6083486.0,1,1,1,41.6707,9.1849
21307,1197834.0,6082925.0,1,1,0,41.6781,8.9694
21294,1191776.0,6084197.0,1,1,1,41.6935,8.8982
21315,1205871.0,6086031.0,1,1,1,41.7004,9.0683
21316,1205978.0,6087728.0,1,1,0,41.7155,9.0711
21323,1208061.0,6088033.0,1,1,1,41.7168,9.0963
21424,1229311.0,6090072.0,1,1,1,41.72,9.3522
21277,1182871.0,6086893.0,1,1,1,41.7236,8.7942
21432,1232085.0,6092333.0,1,1,0,41.7382,9.3875
21338,1214197.0,6092089.0,1,1,1,41.7488,9.1734
21297,1193339.0,6091957.0,1,1,1,41.762,8.9239
21314,1203222.0,6092865.0,1,1,1,41.7634,9.0429
21265,1180475.0,6091628.0,1,1,1,41.7676,8.7697
21304,1197250.0,6094914.0,1,1,1,41.7858,8.9733
21261,1178712.0,6095740.0,1,1,0,41.8056,8.7522
21270,1181263.0,6098144.0,1,1,1,41.8254,8.7848
21287,1188766.0,6099303.0,1,1,0,41.8309,8.8757
21427,1229950.0,6102788.0,1,1,1,41.8334,9.3721
21273,1181661.0,6099755.0,1,1,1,41.8396,8.791
21433,1232232.0,6105595.0,1,1,1,41.8569,9.4022
21272,1181557.0,6102341.0,1,1,1,41.8628,8.792
21296,1193289.0,6104693.0,1,1,1,41.8761,8.9347
21321,1207328.0,6107097.0,1,1,1,41.888,9.1052
21310,1200652.0,6106645.0,1,1,0,41.8886,9.0248
21276,1182794.0,6105958.0,1,1,1,41.8944,8.81
21230,1172111.0,6106919.0,1,1,1,41.91,8.6828
21234,1173941.0,6107082.0,1,1,1,41.9103,8.7049
21225,1169646.0,6106807.0,1,1,1,41.9106,8.6531
21242,1175946.0,6107730.0,1,1,1,41.9148,8.7295
21293,1191410.0,6109021.0,1,1,1,41.9161,8.9161
21256,1176709.0,6108011.0,1,1,1,41.9168,8.7389
21241,1175911.0,6107995.0,1,1,1,41.9172,8.7293
21426,1229578.0,6112277.0,1,1,1,41.9186,9.3768
21252,1176568.0,6108223.0,1,1,1,41.9188,8.7374
21247,1176196.0,6108394.0,1,1,1,41.9206,8.733
21245,1175997.0,6108445.0,1,1,1,41.9212,8.7307
21250,1176547.0,6108490.0,1,1,1,41.9212,8.7373
21253,1176667.0,6108559.0,1,1,1,41.9218,8.7388
21269,1181236.0,6108962.0,1,1,1,41.9224,8.794
21356,1219949.0,6112029.0,1,1,0,41.9233,9.2612
21243,1175973.0,6108764.0,1,1,1,41.924,8.7307
21237,1174413.0,6108747.0,1,1,1,41.9249,8.712
21251,1176548.0,6108974.0,1,1,1,41.9256,8.7378
21278,1183545.0,6109535.0,1,1,1,41.926,8.8222
21240,1175767.0,6109020.0,1,1,1,41.9265,8.7284
21254,1176673.0,6109257.0,1,1,1,41.928,8.7395
21264,1179503.0,6109587.0,1,1,1,41.9291,8.7738
21246,1176176.0,6109458.0,1,1,1,41.9301,8.7337
21255,1176690.0,6109843.0,1,1,1,41.9332,8.7402
21259,1177779.0,6110009.0,1,1,1,41.934,8.7535
21386,1226704.0,6113810.0,1,1,1,41.9344,9.3439
21244,1175988.0,6110232.0,1,1,1,41.9372,8.7322
21258,1177475.0,6110669.0,1,1,1,41.9401,8.7504
21267,1180689.0,6111337.0,1,1,1,41.944,8.7895
21330,1210573.0,6114485.0,1,1,0,41.9519,9.151
