cluster,x,y,2G,3G,4G,latitude,longitude
434,103113.0,6848661.0,1,1,0,48.4629,-5.088
403,127043.0,6835882.0,1,1,1,48.37,-4.7489
403,128770.0,6833549.0,1,1,0,48.3506,-4.7227
434,129264.0,6848863.0,1,1,0,48.4882,-4.7362
403,129879.0,6797996.0,1,1,0,48.0332,-4.6613
434,130114.0,6854345.0,1,1,0,48.538,-4.7321
434,130418.0,6842903.0,1,1,0,48.4358,-4.7128
403,134821.0,6834024.0,1,1,1,48.3602,-4.642
434,135263.0,6852800.0,1,1,0,48.5287,-4.6606
434,136592.0,6841494.0,0,1,0,48.4286,-4.6279
434,136658.0,6836986.0,1,1,1,48.3883,-4.6212
434,136918.0,6844810.0,1,1,0,48.4586,-4.6279
404,137269.0,6797110.0,1,1,0,48.0317,-4.5614
434,138045.0,6836907.0,1,1,1,48.3888,-4.6024
404,138177.0,6823771.0,1,1,0,48.2713,-4.5836
434,138848.0,6856582.0,1,1,0,48.5657,-4.6172
404,139902.0,6835505.0,1,1,1,48.3779,-4.5756
404,140032.0,6795537.0,0,1,0,48.02,-4.5225
435,140081.0,6842315.0,1,1,0,48.439,-4.582
404,140594.0,6833532.0,1,1,1,48.3608,-4.5638
435,142515.0,6839739.0,1,1,0,48.418,-4.546
404,143070.0,6795023.0,1,1,0,48.018,-4.4813
404,143101.0,6835220.0,1,1,1,48.378,-4.5323
404,143346.0,6834453.0,1,1,1,48.3714,-4.528
435,143693.0,6838607.0,1,1,1,48.4089,-4.5286
435,143853.0,6836141.0,1,1,1,48.3869,-4.5233
404,144485.0,6820483.0,1,1,0,48.2472,-4.4948
435,144607.0,6846681.0,1,0,0,48.482,-4.5267
435,144663.0,6835636.0,1,1,1,48.3831,-4.5118
435,144880.0,6856807.0,1,1,1,48.5729,-4.5361
435,145056.0,6841887.0,1,1,1,48.4394,-4.5145
435,145204.0,6835519.0,1,1,1,48.3825,-4.5044
435,145218.0,6837969.0,1,1,1,48.4045,-4.5073
435,145235.0,6836483.0,1,1,1,48.3912,-4.5052
435,145934.0,6847505.0,1,1,0,48.4905,-4.5099
435,146006.0,6838487.0,1,1,1,48.4098,-4.4974
435,146105.0,6836686.0,1,1,1,48.3937,-4.4937
404,146282.0,6791513.0,1,1,0,47.9892,-4.434
435,146286.0,6837774.0,1,1,1,48.4036,-4.4927
435,146296.0,6836331.0,1,1,1,48.3907,-4.4907
435,146549.0,6837030.0,1,1,1,48.3972,-4.4882
435,146581.0,6839159.0,1,1,1,48.4163,-4.4905
435,146631.0,6835858.0,1,1,0,48.3868,-4.4856
435,146820.0,6836403.0,1,1,1,48.3918,-4.4838
435,146905.0,6837061.0,1,1,1,48.3978,-4.4835
435,147054.0,6836884.0,1,1,1,48.3963,-4.4812
435,147649.0,6835625.0,1,1,1,48.3856,-4.4716
435,147651.0,6836172.0,1,1,1,48.3905,-4.4723
435,147697.0,6838762.0,1,1,1,48.4137,-4.475
435,147698.0,6837006.0,1,1,1,48.398,-4.4727
435,147718.0,6836599.0,1,1,1,48.3943,-4.4719
435,147933.0,6835307.0,1,0,0,48.3829,-4.4674
435,148087.0,6837613.0,1,1,1,48.4037,-4.4683
435,148211.0,6860254.0,1,1,0,48.6066,-4.4956
435,148324.0,6837517.0,0,1,0,48.4031,-4.465
435,148524.0,6836656.0,1,1,1,48.3955,-4.4612
435,148555.0,6837987.0,1,1,1,48.4075,-4.4625
435,148750.0,6840360.0,1,1,1,48.4289,-4.4629
435,148978.0,6839557.0,1,1,1,48.4219,-4.4588
435,149482.0,6836210.0,1,1,1,48.3924,-4.4477
435,149689.0,6837098.0,1,1,1,48.4005,-4.4461
435,149844.0,6843394.0,1,1,1,48.457,-4.452
435,150488.0,6837542.0,1,1,1,48.4051,-4.4359
373,150588.0,6771075.0,1,1,1,47.8097,-4.351
404,150621.0,6832070.0,1,1,1,48.3562,-4.4271
435,152319.0,6841107.0,1,1,1,48.4386,-4.4158
435,152493.0,6848409.0,1,1,1,48.5042,-4.4227
404,153217.0,6801245.0,1,1,1,48.0823,-4.3536
373,153834.0,6771525.0,1,1,1,47.8165,-4.3084
435,154111.0,6837723.0,1,1,1,48.4098,-4.3874
435,154301.0,6839018.0,1,1,1,48.4216,-4.3865
404,155239.0,6817271.0,1,1,0,48.2275,-4.3465
404,155349.0,6802775.0,1,1,0,48.0978,-4.327
404,155367.0,6787605.0,1,1,1,47.9618,-4.3079
435,155458.0,6834857.0,1,1,1,48.3853,-4.3656
373,155486.0,6769021.0,1,1,1,47.7954,-4.2834
404,155861.0,6833195.0,1,1,1,48.3707,-4.3581
404,155966.0,6782583.0,1,1,1,47.9173,-4.2937
373,156017.0,6773969.0,1,1,1,47.8402,-4.2824
373,156152.0,6775436.0,1,1,0,47.8535,-4.2824
404,157300.0,6801237.0,1,1,0,48.0856,-4.299
435,157491.0,6851512.0,1,1,0,48.5362,-4.3592
404,157616.0,6780309.0,1,1,1,47.8983,-4.2689
404,157850.0,6790389.0,1,1,0,47.9889,-4.2782
435,157951.0,6864521.0,1,1,1,48.653,-4.3695
435,159014.0,6841175.0,1,1,0,48.4448,-4.3257
435,159692.0,6834987.0,1,1,0,48.39,-4.3089
435,159782.0,6855222.0,1,0,0,48.5713,-4.333
373,159848.0,6769657.0,1,1,0,47.8047,-4.2261
404,160242.0,6796170.0,1,1,1,48.0426,-4.2534
373,160690.0,6777672.0,1,1,1,47.8772,-4.2247
435,161610.0,6850903.0,1,1,0,48.5341,-4.3029
373,162281.0,6772653.0,1,1,1,47.8336,-4.1974
404,162648.0,6794667.0,1,1,0,48.0312,-4.2194
435,162772.0,6841750.0,1,1,0,48.4531,-4.2758
435,163117.0,6858470.0,1,1,0,48.6032,-4.292
435,163814.0,6842341.0,1,1,1,48.4593,-4.2625
404,164011.0,6831715.0,1,1,0,48.3642,-4.2467
404,164126.0,6789264.0,1,1,1,47.9839,-4.193
435,164264.0,6844971.0,1,1,1,48.4832,-4.2597
404,164419.0,6784964.0,1,1,1,47.9456,-4.1839
404,165070.0,6777851.0,1,1,1,47.8824,-4.1666
404,165159.0,6827730.0,1,1,1,48.3295,-4.2264
435,165513.0,6839045.0,1,0,0,48.4311,-4.2356
404,167553.0,6787027.0,1,1,1,47.9667,-4.1446
